platform,collection,country,audience,actionability_status,next_action,action_url,cost,execution_confidence,difficulty,publishing_time,evidence_action_url,blocker,missing,native_score,native_signal,source_collection_url
Jobillico,Business Directories,Canada,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Jobindex,Business Directories,Denmark,nordics,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Jobindex,Marketplace & Classified Platforms,Denmark,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Jobs.cz,Business Directories,Czech Republic,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
JobsDB Hong Kong,Business Directories,Hong Kong,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
JobsDB Thailand,Business Directories,Thailand,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Jobstore Malaysia,Business Directories,Malaysia,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Jofogas,Marketplace & Classified Platforms,Hungary,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
Joomla! Extensions Directory,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,42,"tier tier3, priority P3",/research/business-directories/opportunities/
Joongna,Business Directories,South Korea,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Joongna,Marketplace & Classified Platforms,South Korea,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Jora,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Jornal de Negócios,"Media, PR & Publishing",Portugal,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Josh Bersin,"Media, PR & Publishing",United States,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
JournoLink,"Media, PR & Publishing",United Kingdom,national,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,61,Media Score 61 (Moderate),/research/media-pr-publishing/
Judy's Book,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Jumia Egypt,Marketplace & Classified Platforms,Egypt,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,72,"accepts business sellers, paid",/research/marketplaces/
Jumia Ghana,Business Directories,Ghana,africa,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Jumia Kenya,Business Directories,Kenya,africa,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Jumia Kenya,Marketplace & Classified Platforms,Kenya,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,72,"accepts business sellers, paid",/research/marketplaces/
Jumia Nigeria,Business Directories,Nigeria,africa,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Jumia Nigeria,Marketplace & Classified Platforms,Nigeria,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,72,"accepts business sellers, paid",/research/marketplaces/
Jumia Uganda,Business Directories,Uganda,africa,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Junk Mail,Marketplace & Classified Platforms,South Africa,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,69,"accepts both sellers, freemium",/research/marketplaces/
Jusbrasil,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Just Eat Ireland,Business Directories,Ireland,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Just Food,"Media, PR & Publishing",United Kingdom,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Justacote,Business Directories,France,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Justdial,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Justia,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Já.is,Business Directories,Iceland,europe,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
KADIN Indonesia,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
KB Chachacha,Marketplace & Classified Platforms,South Korea,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
KED Global,"Media, PR & Publishing",South Korea,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
KEPSA,Business Directories,Kenya,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
KKday,Business Directories,Taiwan,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
KNCCI,Business Directories,Kenya,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
KSL Classifieds,Marketplace & Classified Platforms,United States,,READY,Post an advertisement,https://www.deseretdigital.com/advertising,freemium,LOW,Unknown,Unknown,verified,,,77,"accepts both sellers, freemium",/research/marketplaces/
KV.ee,Marketplace & Classified Platforms,Estonia,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
Kaggle Datasets,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Easy,Unknown,unknown,,what action the platform supports; the action URL,60,"tier tier2, priority P3",/research/business-directories/opportunities/
Kaidee,Marketplace & Classified Platforms,Thailand,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
Kakao Map Place,Business Directories,South Korea,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Kalibrr,Business Directories,Philippines,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Katadata,"Media, PR & Publishing",Indonesia,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Katalog.cz,Business Directories,Czech Republic,country-specific,READY,Create a business profile,https://www.katalog.cz/pridat-firmu/,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Kauppalehti,"Media, PR & Publishing",Finland,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Kavak,Marketplace & Classified Platforms,Mexico,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Keepmeposted,Marketplace & Classified Platforms,Malta,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Keidanren,Business Directories,Japan,japan,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Kelkoo,Business Directories,Global,europe,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
KennstDuEinen,Business Directories,Germany,dach,READY,Create a business profile,https://www.kennstdueinen.de/serviceProvider/registerForm,free,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Kenya Association of Manufacturers,Business Directories,Kenya,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Khmer24,Marketplace & Classified Platforms,Cambodia,,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, unknown",/research/marketplaces/
Kickstarter,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Kijiji,Business Directories,Canada,canada,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Kijiji,Marketplace & Classified Platforms,Canada,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
Kilimall,Marketplace & Classified Platforms,Kenya,,READY,Create a seller account,https://seller.kilimall.ke/login,paid,LOW,Unknown,Unknown,verified,,,80,"accepts business sellers, paid",/research/marketplaces/
KillerStartups,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Kiyoh,Business Directories,Netherlands,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Klaviyo Partner Directory,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Kleinanzeigen,Marketplace & Classified Platforms,Germany,,READY,Post a classified listing,https://www.kleinanzeigen.de/anzeige-aufgeben,freemium,LOW,Unknown,Unknown,verified,,,77,"accepts both sellers, freemium",/research/marketplaces/
Klinikbewertungen,Business Directories,Germany,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Klook,Business Directories,Hong Kong,asia,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Knoji,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Knowledge Quarter London,Business Directories,United Kingdom,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Kompass,Business Directories,Global,europe; global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Kompass France,Business Directories,France,europe,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Konfederacja Lewiatan,Business Directories,Poland,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Konga,Marketplace & Classified Platforms,Nigeria,,READY,Create a seller account,https://shq.konga.com/register,paid,LOW,Unknown,Unknown,verified,,,80,"accepts business sellers, paid",/research/marketplaces/
Koninklijke Metaalunie,Business Directories,Netherlands,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Korea International Trade Association,Business Directories,South Korea,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
KoreaTechDesk,"Media, PR & Publishing",South Korea,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
KrASIA,"Media, PR & Publishing",Singapore,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Krak,Business Directories,Denmark,nordics,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Kufar,Marketplace & Classified Platforms,Belarus,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
KupujemProdajem,Marketplace & Classified Platforms,Serbia,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Kursiv Media,"Media, PR & Publishing",Kazakhstan,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
L'Expo Permanente,Business Directories,France,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
La Guía del Ocio,Business Directories,Argentina,latam,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
La Pulga Virtual,Marketplace & Classified Platforms,Dominican Republic,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
La República,"Media, PR & Publishing",Colombia,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Lacartes,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Lamudi Philippines,Marketplace & Classified Platforms,Philippines,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,60,"accepts both sellers, paid",/research/marketplaces/
Lanka Property Web,Marketplace & Classified Platforms,Sri Lanka,,READY,Post a classified listing,https://www.lankapropertyweb.com/myaccountV2/create,paid,LOW,Unknown,Unknown,verified,,,68,"accepts both sellers, paid",/research/marketplaces/
Lanka Yellow Pages,Business Directories,Sri Lanka,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Launch,Business Directories,Canada,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Launching Next,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Launching Next,"Media, PR & Publishing",United States,global,READY,Submit a product launch,https://www.launchingnext.com/submit/,freemium,LOW,Unknown,Unknown,verified,,,77,Media Score 77 (Good),/research/media-pr-publishing/
Law Society Find a Solicitor,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Law.com,"Media, PR & Publishing",United States,national,READY,Pitch the editorial team,https://www.law.com/contact-us/,unknown,LOW,Unknown,Unknown,verified,,,85,Media Score 85 (Strong),/research/media-pr-publishing/
LawnStarter,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Lawyer Legion,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Lawyer.com,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Lawyers.com,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Lazada Malaysia,Business Directories,Malaysia,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Lazada Philippines,Business Directories,Philippines,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Lazada Việt Nam,Business Directories,Vietnam,asia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Leapfrog Hospital Ratings,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Ledge.ai,"Media, PR & Publishing",Japan,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
LegalMatch,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Lenny’s Newsletter,"Media, PR & Publishing",United States,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Les Echos,"Media, PR & Publishing",France,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
LesEco.ma,"Media, PR & Publishing",Morocco,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
LesPAC,Business Directories,Canada,regional,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
LesPAC,Marketplace & Classified Platforms,Canada,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,69,"accepts both sellers, freemium",/research/marketplaces/
Level39,Business Directories,United Kingdom,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
LibHunt,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,42,"tier tier3, priority P3",/research/business-directories/opportunities/
Libraries.io,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Lider Media,"Media, PR & Publishing",Croatia,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Lieferando,Business Directories,Germany,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Lieferando Österreich,Business Directories,Austria,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Light Reading,"Media, PR & Publishing",United States,global,READY,Submit a contributed article,https://www.lightreading.com/,free,LOW,Unknown,Unknown,verified,,,88,Media Score 88 (Exceptional),/research/media-pr-publishing/
Link To Leaders,"Media, PR & Publishing",Portugal,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
LinkedIn Company Page,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Linux Foundation Members,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
ListaFirme,Business Directories,Romania,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Local Heroes,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Local Pages,Business Directories,United Kingdom,united-kingdom,READY,Create a business profile,https://www.localpages.co.uk/advertise.php,freemium,LOW,Unknown,Unknown,verified,,,78,"tier tier2, priority P2",/research/business-directories/opportunities/
Local Search Ireland,Business Directories,Ireland,country-specific,READY,Create a business profile,https://www.localsearch.ie/create-listing/,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
LocalLife,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Localist,Business Directories,New Zealand,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Localsearch,Business Directories,Australia,australia,READY,Create a business profile,https://forbusiness.localsearch.com.au/create-profile,unknown,LOW,Unknown,Unknown,verified,,,78,"tier tier2, priority P2",/research/business-directories/opportunities/
Locanto,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Locanto,Marketplace & Classified Platforms,United States,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,69,"accepts both sellers, freemium",/research/marketplaces/
